КодНИС;НаименованиеНоменклатуры;ВидДлины;Производитель;ГОСТ;МаркаСтали;Диаметр;Диаметр;Размер2;Стенка;ТипПроизводства;РегионСклада;Склад;ИмеетсяЦенаТовара;ЦенаЗаТонну;ЦенаЗаТонну1;ЦенаЗаТонну2;ЦенаЗаМетр;ЦенаЗаМетр1;ЦенаЗаМетр2
"1213891";"Труба б/ш х/д ГОСТ 8734-75, ГОСТ 8733-74 Группа В, Ст20, 35 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8734-75, 8733-74, В";"20";35;35;0;5;"Холоднодеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"1214795";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 325 * 22  , НД, ЧТПЗ";"НД";"ЧТПЗ";"8732-78, 8731-74, В";"20";325;325;0;22;"Горячедеформированные трубы";"59";"Склад г. Пермь (ОАО ""Центральный Агроснаб"")";"Нет";0;0;0;0;0;0
"1215947";"ТРУБЫ г/д нефт бесш ТУ 14-159-1128-2008, Ст09Г2С, 57 * 4  , ОД, ПНТЗ";"ОД";"ПНТЗ";"ТУ 14-159-1128-2008";"09Г2С";57;57;0;4;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
"1215947";"ТРУБЫ г/д нефт бесш ТУ 14-159-1128-2008, Ст09Г2С, 57 * 4  , ОД, ПНТЗ";"ОД";"ПНТЗ";"ТУ 14-159-1128-2008";"09Г2С";57;57;0;4;"Горячедеформированные трубы";"24";"Склад г. Красноярск (ООО Торговый дом ""МеталлПромГарант"")";"Нет";0;0;0;0;0;0
"1215947";"ТРУБЫ г/д нефт бесш ТУ 14-159-1128-2008, Ст09Г2С, 57 * 4  , ОД, ПНТЗ";"ОД";"ПНТЗ";"ТУ 14-159-1128-2008";"09Г2С";57;57;0;4;"Горячедеформированные трубы";"54";"Склад г. Новосибирск (""Феррум"")";"Нет";0;0;0;0;0;0
"646490";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 146 * 14  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";146;146;0;14;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"646490";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 146 * 14  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";146;146;0;14;"Горячедеформированные трубы";"61";"Склад г. Батайск (ООО Мост-терминал)";"Нет";0;0;0;0;0;0
"661389";"ТРУБЫ бесш г/д ГОСТ 8731-74.8732-78 ГР.В, Ст20, 159 * 5  , Н/Д, ЧТПЗ";"НД";"ЧТПЗ";"8732-78, 8731-74, В";"20";159;159;0;5;"Горячедеформированные трубы";"42";"Склад г. Новокузнецк (ОАО ""Новокузнецкметаллоптторг"")";"Нет";0;0;0;0;0;0
"702290";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст45, 203 * 25  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"45";203;203;0;25;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";77500;77083.33;76250;8504.94;8459.21;8367.76
"702290";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст45, 203 * 25  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"45";203;203;0;25;"Горячедеформированные трубы";"74";"Склад г. Челябинск (АО ""Челябтехоптторг"")";"Нет";0;0;0;0;0;0
