КодНИС;НаименованиеНоменклатуры;ВидДлины;Производитель;ГОСТ;МаркаСтали;Диаметр;Диаметр;Размер2;Стенка;ТипПроизводства;РегионСклада;Склад;ИмеетсяЦенаТовара;ЦенаЗаТонну;ЦенаЗаТонну1;ЦенаЗаТонну2;ЦенаЗаМетр;ЦенаЗаМетр1;ЦенаЗаМетр2
"2118478";"Труба б/ш х/д ГОСТ 8734-75, ГОСТ 8733-74 Группа В, Ст20, 32 * 3  , НД, ПНТЗ";"НД";"ПНТЗ";"8734-75, 8733-74, В";"20";32;32;0;3;"Холоднодеформированные трубы";"76";"Склад г. Ярославль филиал (АО «База металлопродукции») нов.";"Нет";0;0;0;0;0;0
"10407";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 114 * 4.5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";114;114;0;4.5;"Горячедеформированные трубы";"54";"Склад г. Новосибирск (""Феррум"")";"Нет";0;0;0;0;0;0
"10407";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 114 * 4.5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";114;114;0;4.5;"Горячедеформированные трубы";"16";"Склад г. Казань (ООО «Батыр»)";"Нет";0;0;0;0;0;0
"10407";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 114 * 4.5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";114;114;0;4.5;"Горячедеформированные трубы";"55";"Склад г. Омск (ООО ""УралСибТрейд-Омск"")";"Нет";0;0;0;0;0;0
"10407";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 114 * 4.5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";114;114;0;4.5;"Горячедеформированные трубы";"74";"Склад г. Челябинск (ОАО ""Пермметалл"")";"Нет";0;0;0;0;0;0
"10407";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 114 * 4.5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";114;114;0;4.5;"Горячедеформированные трубы";"74";"Склад г. Челябинск (АО ""Челябтехоптторг"")";"Нет";0;0;0;0;0;0
"10410";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 219 * 45  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";219;219;0;45;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";78333.34;78333.34;78333.34;15125.78;15125.78;15125.78
"10419";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 180 * 8  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";180;180;0;8;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"10419";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 180 * 8  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";180;180;0;8;"Горячедеформированные трубы";"61";"Склад г. Батайск (ООО Мост-терминал)";"Нет";0;0;0;0;0;0
"10421";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 168 * 10  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";168;168;0;10;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";78333.34;78333.34;78333.34;3052.2;3052.2;3052.2
"10421";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 168 * 10  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";168;168;0;10;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";78750.01;78750.01;78750.01;3068.44;3068.44;3068.44
"10421";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 168 * 10  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";168;168;0;10;"Горячедеформированные трубы";"63";"Склад г. Самара (ООО ""Байкал"")";"Нет";0;0;0;0;0;0
"10421";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 168 * 10  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";168;168;0;10;"Горячедеформированные трубы";"54";"Склад г. Новосибирск (""Феррум"")";"Нет";0;0;0;0;0;0
"10421";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 168 * 10  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";168;168;0;10;"Горячедеформированные трубы";"55";"Склад г. Омск (ООО ""УралСибТрейд-Омск"")";"Нет";0;0;0;0;0;0
"10421";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 168 * 10  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";168;168;0;10;"Горячедеформированные трубы";"74";"Склад г. Челябинск (АО ""Челябтехоптторг"")";"Нет";0;0;0;0;0;0
"10439";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 140 * 8  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";140;140;0;8;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";78750.01;78750.01;78750.01;2050.81;2050.81;2050.81
"10439";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 140 * 8  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";140;140;0;8;"Горячедеформированные трубы";"24";"Склад г. Красноярск (ООО Торговый дом ""МеталлПромГарант"")";"Нет";0;0;0;0;0;0
"10439";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 140 * 8  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";140;140;0;8;"Горячедеформированные трубы";"54";"Склад г. Новосибирск (""Феррум"")";"Нет";0;0;0;0;0;0
"10439";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 140 * 8  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";140;140;0;8;"Горячедеформированные трубы";"61";"Склад г. Батайск (ООО Мост-терминал)";"Нет";0;0;0;0;0;0
"10441";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 219 * 10  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";219;219;0;10;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";78750.01;78750.01;78750.01;4058.88;4058.88;4058.88
"10441";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 219 * 10  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";219;219;0;10;"Горячедеформированные трубы";"54";"Склад г. Новосибирск (""Феррум"")";"Нет";0;0;0;0;0;0
"10443";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 219 * 20  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";219;219;0;20;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"10443";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 219 * 20  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";219;219;0;20;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";78750.01;78750.01;78750.01;7729.35;7729.35;7729.35
"10443";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 219 * 20  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";219;219;0;20;"Горячедеформированные трубы";"24";"Склад г. Красноярск (ООО Торговый дом ""МеталлПромГарант"")";"Нет";0;0;0;0;0;0
"10443";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 219 * 20  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";219;219;0;20;"Горячедеформированные трубы";"74";"Склад г. Челябинск (АО ""Челябтехоптторг"")";"Нет";0;0;0;0;0;0
"10445";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 219 * 18  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";219;219;0;18;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";78333.34;78333.34;78333.34;6989.15;6989.15;6989.15
"10446";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 219 * 16  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";219;219;0;16;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"10447";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 219 * 10  , МР, ПНТЗ";"МР";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";219;219;0;10;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"10447";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 219 * 10  , МР, ПНТЗ";"МР";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";219;219;0;10;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
"10780";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 102 * 8  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";102;102;0;8;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
"10780";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 102 * 8  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";102;102;0;8;"Горячедеформированные трубы";"55";"Склад г. Омск (ООО ""УралСибТрейд-Омск"")";"Нет";0;0;0;0;0;0
"10780";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 102 * 8  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";102;102;0;8;"Горячедеформированные трубы";"42";"Склад г. Новокузнецк (ОАО ""Новокузнецкметаллоптторг"")";"Нет";0;0;0;0;0;0
"10781";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 102 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";102;102;0;6;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";80833.34;80833.34;80833.34;1148.22;1148.22;1148.22
"10781";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 102 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";102;102;0;6;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";81250.01;81250.01;81250.01;1154.14;1154.14;1154.14
"10781";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 102 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";102;102;0;6;"Горячедеформированные трубы";"24";"Склад г. Красноярск (ООО Торговый дом ""МеталлПромГарант"")";"Нет";0;0;0;0;0;0
"10781";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 102 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";102;102;0;6;"Горячедеформированные трубы";"55";"Склад г. Омск (ООО ""УралСибТрейд-Омск"")";"Нет";0;0;0;0;0;0
"10781";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 102 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";102;102;0;6;"Горячедеформированные трубы";"61";"Склад г. Батайск (ООО Мост-терминал)";"Нет";0;0;0;0;0;0
"10781";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 102 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";102;102;0;6;"Горячедеформированные трубы";"74";"Склад г. Челябинск (АО ""Челябтехоптторг"")";"Нет";0;0;0;0;0;0
"10782";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 102 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";102;102;0;5;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"10782";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 102 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";102;102;0;5;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";81250.01;81250.01;81250.01;971.8;971.8;971.8
"10782";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 102 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";102;102;0;5;"Горячедеформированные трубы";"63";"Склад г. Самара (ООО ""Байкал"")";"Нет";0;0;0;0;0;0
"10782";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 102 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";102;102;0;5;"Горячедеформированные трубы";"54";"Склад г. Новосибирск (""Феррум"")";"Нет";0;0;0;0;0;0
"10782";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 102 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";102;102;0;5;"Горячедеформированные трубы";"74";"Склад г. Челябинск (АО ""Челябтехоптторг"")";"Нет";0;0;0;0;0;0
"10811";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 89 * 4  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";89;89;0;4;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
"10811";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 89 * 4  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";89;89;0;4;"Горячедеформированные трубы";"16";"Склад г. Казань (ООО «Батыр»)";"Нет";82083.34;82083.34;82083.34;688.25;688.25;688.25
"10825";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 108 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";108;108;0;6;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";78333.34;78333.34;78333.34;1182.25;1182.25;1182.25
"10825";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 108 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";108;108;0;6;"Горячедеформированные трубы";"76";"Склад г. Ярославль филиал (АО «База металлопродукции») нов.";"Нет";0;0;0;0;0;0
"10825";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 108 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";108;108;0;6;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";78750.01;78750.01;78750.01;1188.54;1188.54;1188.54
"10825";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 108 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";108;108;0;6;"Горячедеформированные трубы";"24";"Склад г. Красноярск (ООО Торговый дом ""МеталлПромГарант"")";"Нет";83333.34;83333.34;83333.34;1257.71;1257.71;1257.71
"10825";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 108 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";108;108;0;6;"Горячедеформированные трубы";"63";"Склад г. Самара (ООО ""Байкал"")";"Нет";79583.34;79583.34;79583.34;1201.11;1201.11;1201.11
"10825";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 108 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";108;108;0;6;"Горячедеформированные трубы";"54";"Склад г. Новосибирск (""Феррум"")";"Нет";0;0;0;0;0;0
"10825";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 108 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";108;108;0;6;"Горячедеформированные трубы";"16";"Склад г. Казань (ООО «Батыр»)";"Нет";0;0;0;0;0;0
"10825";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 108 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";108;108;0;6;"Горячедеформированные трубы";"55";"Склад г. Омск (ООО ""УралСибТрейд-Омск"")";"Нет";80000.01;80000.01;80000.01;1207.4;1207.4;1207.4
"10825";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 108 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";108;108;0;6;"Горячедеформированные трубы";"74";"Склад г. Челябинск (ОАО ""Пермметалл"")";"Нет";78750.01;78750.01;78750.01;1188.54;1188.54;1188.54
"10825";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 108 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";108;108;0;6;"Горячедеформированные трубы";"42";"Склад г. Новокузнецк (ОАО ""Новокузнецкметаллоптторг"")";"Нет";0;0;0;0;0;0
"10825";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 108 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";108;108;0;6;"Горячедеформированные трубы";"61";"Склад г. Батайск (ООО Мост-терминал)";"Нет";0;0;0;0;0;0
"10825";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 108 * 6  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С";108;108;0;6;"Горячедеформированные трубы";"74";"Склад г. Челябинск (АО ""Челябтехоптторг"")";"Нет";0;0;0;0;0;0
"11032";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст10, 114 * 10  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"10";114;114;0;10;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"11095";"ТРУБЫ г/д общ назн ТУ 14-3-1128-2000, Ст20, 219 * 8  , НК, ПНТЗ";"НК";"ПНТЗ";"ТУ 14-3-1128-2000";"20";219;219;0;8;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
"11095";"ТРУБЫ г/д общ назн ТУ 14-3-1128-2000, Ст20, 219 * 8  , НК, ПНТЗ";"НК";"ПНТЗ";"ТУ 14-3-1128-2000";"20";219;219;0;8;"Горячедеформированные трубы";"55";"Склад г. Омск (ООО ""УралСибТрейд-Омск"")";"Нет";0;0;0;0;0;0
"11121";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст10, 194 * 14  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"10";194;194;0;14;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"11134";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст10, 57 * 5  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"10";57;57;0;5;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";78333.34;78333.34;78333.34;502.27;502.27;502.27
"11136";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст10, 57 * 10  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"10";57;57;0;10;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"11237";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 76 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"20";76;76;0;5;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";78333.34;78333.34;78333.34;685.78;685.78;685.78
"11237";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 76 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"20";76;76;0;5;"Горячедеформированные трубы";"76";"Склад г. Ярославль филиал (АО «База металлопродукции») нов.";"Нет";0;0;0;0;0;0
"11237";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 76 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"20";76;76;0;5;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";78750.01;78750.01;78750.01;689.43;689.43;689.43
"11237";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 76 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"20";76;76;0;5;"Горячедеформированные трубы";"52";"Склад г. Нижний Новгород (ООО ""Авангард"")";"Нет";78750.01;78750.01;78750.01;689.43;689.43;689.43
"11237";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 76 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"20";76;76;0;5;"Горячедеформированные трубы";"24";"Склад г. Красноярск (ООО Торговый дом ""МеталлПромГарант"")";"Нет";0;0;0;0;0;0
"11237";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 76 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"20";76;76;0;5;"Горячедеформированные трубы";"54";"Склад г. Новосибирск (""Феррум"")";"Нет";81250.01;81250.01;81250.01;711.32;711.32;711.32
"11237";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 76 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"20";76;76;0;5;"Горячедеформированные трубы";"16";"Склад г. Казань (ООО «Батыр»)";"Нет";79583.34;79583.34;79583.34;696.73;696.73;696.73
"11237";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 76 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"20";76;76;0;5;"Горячедеформированные трубы";"55";"Склад г. Омск (ООО ""УралСибТрейд-Омск"")";"Нет";80000.01;80000.01;80000.01;700.38;700.38;700.38
"11237";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 76 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"20";76;76;0;5;"Горячедеформированные трубы";"74";"Склад г. Челябинск (ОАО ""Пермметалл"")";"Нет";78750.01;78750.01;78750.01;689.43;689.43;689.43
"11237";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 76 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"20";76;76;0;5;"Горячедеформированные трубы";"42";"Склад г. Новокузнецк (ОАО ""Новокузнецкметаллоптторг"")";"Нет";81250.01;81250.01;81250.01;711.32;711.32;711.32
